"id","gmoUS_pos","gmoUS_neg","gmoIncreaseYield_pos","gmoIncreaseYield_neg","Obama_pos","Obama_neg","Soros_pos","Soros_neg","911_pos","911_neg"
116,NA,3,NA,3,NA,3,NA,3,5,NA
117,3,NA,NA,4,4,NA,NA,4,NA,2
118,1,NA,5,NA,4,NA,NA,5,4,NA
119,3,NA,NA,3,4,NA,NA,3,NA,2
120,NA,3,NA,3,NA,3,3,NA,2,NA
121,3,NA,3,NA,NA,4,NA,2,NA,4
122,NA,3,3,NA,3,NA,NA,3,3,NA
123,NA,2,NA,5,NA,4,NA,4,NA,4
124,NA,3,4,NA,4,NA,3,NA,NA,3
125,NA,2,NA,3,3,NA,4,NA,3,NA
126,4,NA,NA,3,NA,3,4,NA,2,NA
127,NA,3,2,NA,3,NA,NA,4,2,NA
128,NA,2,NA,3,NA,4,3,NA,NA,2
129,NA,3,NA,2,NA,2,4,NA,NA,2
130,NA,2,2,NA,2,NA,2,NA,2,NA
131,3,NA,NA,2,NA,3,4,NA,NA,2
132,1,NA,NA,2,NA,2,2,NA,2,NA
133,NA,2,NA,2,NA,2,NA,2,NA,2
134,NA,3,4,NA,NA,3,NA,3,NA,1
135,NA,2,NA,3,NA,4,NA,4,3,NA
136,NA,3,4,NA,3,NA,2,NA,NA,3
137,NA,3,3,NA,3,NA,3,NA,3,NA
138,2,NA,2,NA,NA,2,NA,4,2,NA
139,NA,3,NA,3,3,NA,NA,3,NA,3
140,3,NA,3,NA,3,NA,3,NA,NA,3
141,3,NA,3,NA,3,NA,3,NA,NA,3
142,NA,3,3,NA,NA,3,NA,3,NA,3
143,NA,5,NA,2,NA,3,NA,3,NA,3
144,NA,3,3,NA,NA,3,NA,3,NA,3
145,NA,3,5,NA,3,NA,NA,2,NA,1
146,NA,3,4,NA,NA,3,NA,2,NA,2
147,NA,3,NA,3,NA,3,NA,3,NA,3
148,NA,4,3,NA,NA,2,NA,4,NA,3
149,NA,4,NA,2,3,NA,3,NA,NA,4
150,NA,3,NA,3,NA,3,NA,3,3,NA
151,1,NA,3,NA,NA,5,NA,3,NA,5
152,NA,5,5,NA,5,NA,NA,4,NA,5
153,NA,3,3,NA,3,NA,3,NA,3,NA
154,3,NA,3,NA,3,NA,3,NA,3,NA
155,3,NA,4,NA,3,NA,NA,3,NA,3
156,4,NA,3,NA,3,NA,NA,3,3,NA
157,3,NA,3,NA,3,NA,NA,4,2,NA
158,NA,3,5,NA,NA,2,4,NA,NA,2
159,4,NA,2,NA,NA,4,NA,2,4,NA
160,NA,2,2,NA,NA,3,3,NA,2,NA
161,NA,2,5,NA,2,NA,4,NA,4,NA
162,3,NA,2,NA,NA,4,NA,3,2,NA
163,4,NA,3,NA,3,NA,NA,2,NA,2
164,NA,2,3,NA,3,NA,3,NA,NA,3
165,NA,2,3,NA,3,NA,4,NA,NA,2
166,4,NA,NA,2,NA,4,NA,2,4,NA
167,3,NA,3,NA,3,NA,3,NA,3,NA
168,4,NA,4,NA,4,NA,4,NA,NA,4
169,NA,4,5,NA,NA,4,NA,4,NA,5
170,3,NA,NA,3,NA,3,3,NA,3,NA
171,3,NA,NA,3,NA,3,2,NA,NA,2
172,3,NA,NA,4,2,NA,3,NA,2,NA
173,4,NA,NA,2,2,NA,4,NA,NA,2
174,1,NA,4,NA,NA,4,2,NA,NA,4
175,NA,2,4,NA,4,NA,1,NA,NA,4
176,3,NA,NA,2,3,NA,NA,2,NA,3
177,NA,4,3,NA,NA,3,NA,4,NA,4
178,3,NA,4,NA,NA,2,NA,4,NA,4
179,NA,1,4,NA,NA,4,2,NA,4,NA
180,NA,4,NA,2,3,NA,NA,4,NA,4
181,4,NA,NA,2,NA,3,2,NA,NA,4
182,1,NA,NA,4,2,NA,NA,1,4,NA
183,NA,3,NA,4,NA,2,NA,4,4,NA
184,3,NA,4,NA,NA,2,4,NA,NA,4
185,1,NA,4,NA,3,NA,NA,4,2,NA
186,NA,3,3,NA,3,NA,NA,3,3,NA
187,3,NA,NA,4,NA,2,NA,4,NA,4
188,3,NA,4,NA,NA,2,NA,4,4,NA
189,NA,3,2,NA,NA,4,NA,3,NA,3
190,NA,3,NA,4,NA,2,NA,4,NA,4
191,NA,4,NA,4,NA,2,4,NA,4,NA
192,3,NA,4,NA,NA,2,NA,4,4,NA
193,NA,4,3,NA,3,NA,NA,4,2,NA
194,4,NA,3,NA,3,NA,NA,4,NA,4
195,3,NA,3,NA,NA,3,3,NA,3,NA
196,3,NA,NA,3,NA,3,NA,3,3,NA
197,3,NA,NA,4,NA,2,NA,4,4,NA
198,NA,4,NA,4,NA,2,4,NA,4,NA
199,4,NA,NA,4,NA,2,4,NA,NA,4
200,1,NA,4,NA,2,NA,1,NA,4,NA
201,3,NA,NA,2,NA,3,4,NA,2,NA
202,3,NA,NA,2,4,NA,NA,3,NA,2
203,NA,3,3,NA,NA,3,3,NA,NA,3
204,4,NA,4,NA,2,NA,4,NA,4,NA
205,NA,3,3,NA,3,NA,NA,3,NA,3
206,NA,3,NA,2,NA,3,3,NA,3,NA
207,NA,3,2,NA,4,NA,2,NA,3,NA
208,NA,1,NA,4,NA,2,NA,4,NA,4
209,2,NA,3,NA,NA,3,2,NA,NA,4
210,NA,2,NA,3,NA,4,1,NA,3,NA
211,NA,4,4,NA,NA,3,NA,4,2,NA
212,5,NA,NA,5,3,NA,3,NA,2,NA
213,4,NA,3,NA,NA,2,3,NA,2,NA
214,NA,3,NA,3,3,NA,NA,3,3,NA
215,3,NA,2,NA,NA,4,NA,2,3,NA
216,3,NA,3,NA,3,NA,NA,4,4,NA
217,NA,3,3,NA,3,NA,NA,3,NA,3
218,NA,4,NA,3,NA,3,2,NA,NA,4
219,NA,4,NA,3,NA,3,NA,4,2,NA
220,4,NA,4,NA,NA,4,4,NA,NA,4
221,NA,3,NA,2,3,NA,2,NA,3,NA
222,4,NA,4,NA,2,NA,4,NA,NA,4
223,2,NA,NA,3,NA,3,2,NA,4,NA
224,NA,4,NA,4,NA,2,NA,4,4,NA
225,NA,3,NA,3,3,NA,3,NA,NA,3
226,4,NA,NA,4,NA,2,NA,4,4,NA
227,2,NA,NA,4,3,NA,NA,2,NA,3
228,NA,4,NA,4,4,NA,4,NA,NA,4
229,NA,4,NA,3,3,NA,2,NA,2,NA
230,NA,4,4,NA,2,NA,4,NA,4,NA
231,4,NA,NA,4,2,NA,4,NA,NA,4
232,3,NA,NA,4,NA,4,NA,4,4,NA
233,NA,3,NA,3,2,NA,3,NA,2,NA
234,3,NA,3,NA,3,NA,3,NA,NA,3
235,NA,4,NA,3,3,NA,NA,4,2,NA
236,3,NA,4,NA,3,NA,2,NA,NA,4
237,NA,4,3,NA,NA,3,2,NA,2,NA
238,3,NA,2,NA,3,NA,NA,2,NA,3
239,NA,2,NA,4,NA,3,2,NA,NA,4
240,NA,2,4,NA,3,NA,3,NA,4,NA
241,3,NA,3,NA,3,NA,3,NA,NA,3
242,NA,3,2,NA,4,NA,3,NA,2,NA
243,2,NA,3,NA,NA,3,2,NA,2,NA
244,2,NA,NA,4,4,NA,2,NA,NA,4
245,NA,3,3,NA,3,NA,3,NA,3,NA
246,3,NA,3,NA,2,NA,NA,3,4,NA
247,2,NA,3,NA,3,NA,2,NA,NA,4
248,2,NA,NA,3,3,NA,NA,4,2,NA
249,NA,4,3,NA,NA,3,NA,4,2,NA
250,NA,4,NA,3,3,NA,NA,4,2,NA
251,2,NA,4,NA,3,NA,NA,2,NA,2
252,NA,3,NA,3,NA,2,3,NA,NA,4
253,2,NA,4,NA,NA,3,NA,2,2,NA
254,3,NA,3,NA,NA,3,3,NA,NA,3
255,NA,3,NA,3,NA,3,3,NA,3,NA
256,NA,4,4,NA,3,NA,NA,2,4,NA
257,3,NA,3,NA,3,NA,3,NA,NA,3
258,2,NA,NA,4,NA,3,NA,2,2,NA
259,3,NA,3,NA,3,NA,NA,3,NA,3
260,3,NA,3,NA,NA,3,NA,3,NA,3
261,2,NA,4,NA,3,NA,NA,2,NA,2
262,NA,3,NA,3,NA,3,3,NA,NA,3
263,NA,2,4,NA,NA,3,NA,3,NA,3
264,NA,4,2,NA,2,NA,2,NA,NA,2
265,NA,4,4,NA,3,NA,NA,3,NA,3
266,2,NA,NA,3,4,NA,NA,3,NA,4
267,3,NA,3,NA,NA,3,NA,3,3,NA
268,NA,4,NA,4,4,NA,NA,4,NA,4
269,NA,3,3,NA,4,NA,NA,3,NA,3
270,4,NA,NA,4,NA,4,4,NA,4,NA
271,4,NA,4,NA,NA,4,NA,4,NA,4
272,3,NA,NA,3,NA,3,NA,3,3,NA
